id;date;time;season;cloudiness;declination;earth_sun_dist;air_temp;rel_hum
LC08_220079_20200607;2020-06-07 13:11:18.383;13:11:18.3838609Z;Fall;0,0;0,3958703475200545;1,0149536;21,4;0,54
LC08_220079_20200623;2020-06-23 13:11:27.417;13:11:27.4174420Z;Winter;0,02691116937057839;0,4093177443428098;1,016452;21,1;0,75
LC08_219079_20200803;2020-08-03 13:05:30.722;13:05:30.7229350Z;Winter;7,869710842070257e-05;0,30922096956351475;1,0146157;20,2;0,71
LC08_220079_20200810;2020-08-10 13:11:42.602;13:11:42.6023810Z;Winter;4,769999732038247e-05;0,2757349282909674;1,0135813;21,6;0,69
LC08_220079_20210218;2021-02-18 13:11:47.673;13:11:47.6731930Z;Summer;0,0;-0,20790747308780408;0,9884174;27,3;0,53
LC08_220079_20210306;2021-03-06 13:11:40.424;13:11:40.4247249Z;Summer;0,0019639772426118655;-0,10405588153920624;0,9921674;25,9;0,64
LC08_219079_20210331;2021-03-31 13:05:20.019;13:05:20.0199680Z;Fall;0,0009898554990316738;0,06728738216472639;0,9990474;25,5;0,48
LC08_219079_20210502;2021-05-02 13:05:04.990;13:05:04.9907930Z;Fall;0,045174755686344735;0,264121027612126;1,0079048;24,5;0,6
LC08_219079_20210518;2021-05-18 13:05:10.649;13:05:10.6490240Z;Fall;5,707291779827806e-05;0,3381009601437927;1,0115932;18,1;0,67
LC08_220079_20210525;2021-05-25 13:11:25.551;13:11:25.5515779Z;Fall;0,0;0,3631371514610042;1,0129052;17,8;0,57
LC08_220079_20210712;2021-07-12 13:11:38.724;13:11:38.7240440Z;Winter;0,0;0,38562923075036254;1,0166;19,9;0,68
LC08_220079_20210728;2021-07-28 13:11:45.929;13:11:45.9295130Z;Winter;3,577499799028685e-05;0,33468247240778887;1,0153829;11,7;0,38
LC08_219079_20210822;2021-08-22 13:05:44.170;13:05:44.1706439Z;Winter;0,044762961974210994;0,2102802773894377;1,0113432;20,3;0,72
LC08_220079_20220205;2022-02-05 13:11:51.925;13:11:51.9253800Z;Summer;0,0;-0,2822631079095795;0,9859745;30,7;0,63
LC08_219079_20220318;2022-03-18 13:05:27.177;13:05:27.1776230Z;Summer;5,9548257113588e-05;-0,021844615831858177;0,995234;28,8;0,7
LC08_219079_20220419;2022-04-19 13:05:22.891;13:05:22.8916280Z;Fall;0,03889229779957274;0,19015118020616256;1,0043205;23,6;0,6
LC08_220079_20220512;2022-05-12 13:11:38.871;13:11:38.8715540Z;Fall;0,0;0,3129101981569881;1,0101683;20,3;0,63
LC08_219079_20220521;2022-05-21 13:05:30.019;13:05:30.0194679Z;Fall;0,00022324758353172596;0,3494280445606317;1,0120798;17,0;0,7
LC08_220079_20220613;2022-06-13 13:11:53.560;13:11:53.5607830Z;Fall;0,0;0,404489762221632;1,0155365;18,8;0,55
LC08_220079_20220731;2022-07-31 13:12:09.317;13:12:09.3179020Z;Winter;0,0;0,32234740420042174;1,0151237;17,3;0,62
LC08_220079_20220901;2022-09-01 13:12:15.786;13:12:15.7869409Z;Winter;0,0;0,14959638400672953;1,0092376;21,3;0,48
